product_id,reviews_rating,customer_id
11234.00,5.00,20422322.00
11234.00,4.00,40835037.00
11234.00,4.00,51469641.00
11234.00,5.00,4332923.00
11234.00,5.00,44855305.00
11234.00,5.00,7846966.00
11234.00,4.00,21299354.00
11234.00,3.00,28902968.00
11234.00,4.00,2074438.00
11234.00,5.00,48701722.00
11234.00,5.00,2990247.00
11234.00,4.00,52946117.00
11234.00,4.00,49359994.00
11234.00,4.00,4158732.00
11234.00,4.00,18944032.00
11234.00,5.00,279606.00
11234.00,5.00,10947966.00
11234.00,5.00,18387442.00
11234.00,4.00,48950322.00
11234.00,5.00,48148197.00
11234.00,5.00,133451.00
11234.00,5.00,24863069.00
11234.00,5.00,6202237.00
11234.00,5.00,23652105.00
11234.00,4.00,399812.00
11234.00,5.00,48805811.00
11234.00,5.00,528818.00
11234.00,4.00,10757416.00
11234.00,5.00,30841819.00
11234.00,4.00,32397073.00
11234.00,5.00,22070226.00
11234.00,4.00,37645678.00
11234.00,5.00,22480021.00
11234.00,5.00,27920584.00
11234.00,5.00,49109878.00
11234.00,5.00,4159021.00
11234.00,5.00,14738400.00
11234.00,5.00,29340349.00
11234.00,5.00,53076619.00
11234.00,3.00,43493634.00
11234.00,4.00,48689977.00
11234.00,5.00,3962209.00
11234.00,5.00,26081688.00
11234.00,5.00,42129235.00
11234.00,4.00,36246895.00
11234.00,4.00,10247168.00
11234.00,5.00,45774171.00
11234.00,5.00,47448980.00
11234.00,4.00,39550519.00
11234.00,5.00,2476375.00
11234.00,5.00,16801898.00
11234.00,5.00,22190196.00
11234.00,3.00,26192749.00
11234.00,5.00,52894341.00
11234.00,2.00,48501328.00
11234.00,5.00,41581336.00
11234.00,5.00,27397668.00
11234.00,4.00,29138846.00
11234.00,4.00,16890980.00
11234.00,4.00,10583612.00
11234.00,5.00,18204093.00
11234.00,5.00,1792911.00
11234.00,5.00,42865544.00
11234.00,5.00,19658274.00
11234.00,5.00,34323478.00
11234.00,4.00,2572900.00
11234.00,3.00,12256390.00
11234.00,5.00,9094748.00
11234.00,4.00,15532751.00
11234.00,4.00,47952503.00
11234.00,5.00,43355838.00
11234.00,4.00,2079819.00
11234.00,4.00,48001426.00
11234.00,5.00,47454014.00
11234.00,5.00,25032689.00
11234.00,4.00,49648764.00
11234.00,5.00,9485656.00
11234.00,5.00,24055001.00
11234.00,5.00,5410422.00
11234.00,5.00,20891093.00
11234.00,5.00,43106426.00
11234.00,5.00,12061025.00
11234.00,5.00,43301254.00
11234.00,5.00,40963441.00
11234.00,5.00,40085728.00
11234.00,4.00,25226778.00
11234.00,5.00,16010470.00
11234.00,5.00,11833191.00
11234.00,5.00,27149573.00
11234.00,5.00,15537118.00
11234.00,4.00,12086691.00
11234.00,5.00,46061275.00
11234.00,5.00,43118374.00
11234.00,5.00,44239442.00
11234.00,4.00,1244351.00
11234.00,1.00,25226778.00
11234.00,4.00,3056784.00
11234.00,5.00,11363046.00
11234.00,5.00,14970541.00
11234.00,5.00,6356913.00
11234.00,4.00,15909878.00
11234.00,5.00,21884750.00
11234.00,4.00,5766270.00
11234.00,3.00,24644096.00
11234.00,4.00,46193396.00
11234.00,5.00,45150942.00
11234.00,5.00,25289305.00
11234.00,5.00,50828061.00
11234.00,5.00,23166943.00
11234.00,5.00,35081969.00
11234.00,5.00,24069312.00
11234.00,5.00,14537061.00
11234.00,5.00,52131552.00
11234.00,5.00,9881235.00
11234.00,5.00,131440.00
11234.00,5.00,15598455.00
11234.00,5.00,37813397.00
11234.00,5.00,2997654.00
11234.00,5.00,41861544.00
11234.00,5.00,28454959.00
11234.00,5.00,31469925.00
11234.00,5.00,49549198.00
11234.00,3.00,15507336.00
11234.00,4.00,15598455.00
11234.00,4.00,11869862.00
11234.00,5.00,42865010.00
11234.00,5.00,1828023.00
11234.00,4.00,52529723.00
11234.00,4.00,3360607.00
11234.00,5.00,17559184.00
11234.00,5.00,16045037.00
11234.00,4.00,28997083.00
11234.00,4.00,10425749.00
11234.00,5.00,20865748.00
11234.00,5.00,49242514.00
11234.00,5.00,13007309.00
11234.00,5.00,2346214.00
11234.00,5.00,30059074.00
11234.00,5.00,31976175.00
11234.00,4.00,18007103.00
11234.00,5.00,10415884.00
11234.00,5.00,41558694.00
11234.00,4.00,45926870.00
11234.00,5.00,2009393.00
11234.00,5.00,3207933.00
11234.00,5.00,28733547.00
11234.00,4.00,50984499.00
11234.00,5.00,21687432.00
11234.00,5.00,38360101.00
11234.00,5.00,10480122.00
11234.00,5.00,4375234.00
