product_id,reviews.rating,customer_id
11234,5,20422322
11234,4,40835037
11234,4,51469641
11234,5,4332923
11234,5,44855305
11234,5,7846966
11234,4,21299354
11234,3,28902968
11234,4,2074438
11234,5,48701722
11234,5,2990247
11234,4,52946117
11234,4,49359994
11234,4,4158732
11234,4,18944032
11234,5,279606
11234,5,10947966
11234,5,18387442
11234,4,48950322
11234,5,48148197
11234,5,133451
11234,5,24863069
11234,5,6202237
11234,5,23652105
11234,4,399812
11234,5,48805811
11234,5,528818
11234,4,10757416
11234,5,30841819
11234,4,32397073
11234,5,22070226
11234,4,37645678
11234,5,22480021
11234,5,27920584
11234,5,49109878
11234,5,4159021
11234,5,14738400
11234,5,29340349
11234,5,53076619
11234,3,43493634
11234,4,48689977
11234,5,3962209
11234,5,26081688
11234,5,42129235
11234,4,36246895
11234,4,10247168
11234,5,45774171
11234,5,47448980
11234,4,39550519
11234,5,2476375
11234,5,16801898
11234,5,22190196
11234,3,26192749
11234,5,52894341
11234,2,48501328
11234,5,41581336
11234,5,27397668
11234,4,29138846
11234,4,16890980
11234,4,10583612
11234,5,18204093
11234,5,1792911
11234,5,42865544
11234,5,19658274
11234,5,34323478
11234,4,2572900
11234,3,12256390
11234,5,9094748
11234,4,15532751
11234,4,47952503
11234,5,43355838
11234,4,2079819
11234,4,48001426
11234,5,47454014
11234,5,25032689
11234,4,49648764
11234,5,9485656
11234,5,24055001
11234,5,5410422
11234,5,20891093
11234,5,43106426
11234,5,12061025
11234,5,43301254
11234,5,40963441
11234,5,40085728
11234,4,25226778
11234,5,16010470
11234,5,11833191
11234,5,27149573
11234,5,15537118
11234,4,12086691
11234,5,46061275
11234,5,43118374
11234,5,44239442
11234,4,1244351
11234,1,25226778
11234,4,3056784
11234,5,11363046
11234,5,14970541
11234,5,6356913
11234,4,15909878
11234,5,21884750
11234,4,5766270
11234,3,24644096
11234,4,46193396
11234,5,45150942
11234,5,25289305
11234,5,50828061
11234,5,23166943
11234,5,35081969
11234,5,24069312
11234,5,14537061
11234,5,52131552
11234,5,9881235
11234,5,131440
11234,5,15598455
11234,5,37813397
11234,5,2997654
11234,5,41861544
11234,5,28454959
11234,5,31469925
11234,5,49549198
11234,3,15507336
11234,4,15598455
11234,4,11869862
11234,5,42865010
11234,5,1828023
11234,4,52529723
11234,4,3360607
11234,5,17559184
11234,5,16045037
11234,4,28997083
11234,4,10425749
11234,5,20865748
11234,5,49242514
11234,5,13007309
11234,5,2346214
11234,5,30059074
11234,5,31976175
11234,4,18007103
11234,5,10415884
11234,5,41558694
11234,4,45926870
11234,5,2009393
11234,5,3207933
11234,5,28733547
11234,4,50984499
11234,5,21687432
11234,5,38360101
11234,5,10480122
11234,5,4375234
11234,5,45575279
11234,5,19909472
11234,5,445209
11234,5,33266818
11234,5,36525697
11234,5,14579833
11234,5,33276605
11234,5,44004584
11234,5,3346319
11234,5,2265767
11234,5,45506193
11234,4,7737019
11234,4,31860059
11234,5,33582678
11234,4,30804678
11234,4,33722929
11234,4,43050661
11234,5,15821693
11234,5,38186679
11234,5,1304395
11234,5,24318000
11234,5,48143398
11234,5,6223256
11234,5,13418761
11234,4,6293745
11234,5,52352506
11234,5,787281
11234,5,27053976
11234,4,34426421
11234,5,19709513
11234,5,46357896
11234,5,176073
11234,2,15600710
11234,4,16646171
11234,5,45286795
11234,5,139230
11234,5,15032270
11234,5,44448129
11234,5,36402631
11234,5,52223478
11234,5,30507637
11234,4,40393518
11234,5,23780390
11234,5,19832313
11234,4,25750755
11234,4,12956836
11234,5,2649879
11234,4,4560446
11234,5,1195910
11234,5,23712110
11234,4,27510710
11234,5,11126362
11234,5,9097384
11234,5,50751819
11234,5,51690465
11234,4,3466885
11234,5,51033952
11234,5,29182640
11234,5,27883925
11234,3,33114747
11234,5,38712635
11234,5,32133759
11234,5,4361811
11234,5,47094570
11234,5,15331139
11234,5,27470887
11234,5,26155827
11234,4,3243071
11234,4,6301648
11234,4,14045173
11234,3,12908465
